,企业名称,被投资企业名称,投资比例
0,天津市三条石有色金属铸造有限公司,天津市鼎耀鑫金属造型科技发展有限公司,100%
1,天津市三条石有色金属铸造有限公司,天津三条石新材料科技有限公司,10%
0,天津市三桥包装机械股份合作公司,天津三桥实业开发服务有限公司,100%
0,天津市三跃塑料制品有限公司,天津市久跃科技有限公司,56%
0,天津市东大化工有限公司,天津市东科食品添加剂研发有限公司,100%
1,天津市东大化工有限公司,天津市圣吉塑料包装制品有限公司,85.71429%
2,天津市东大化工有限公司,天津东大药业有限公司,99.9001%
0,天津东洋油墨有限公司,天津东洋油墨有限公司深圳分公司,100%
1,天津东洋油墨有限公司,四川东洋油墨制造有限公司,100%
0,天津市东海制桶有限公司,天津兴旺伟业小额贷款有限公司,20%
0,天津中天制药有限公司,天津中天益寿堂酒业股份有限公司,34%
1,天津中天制药有限公司,中意（天津）制药有限公司,100%
0,天津中天通信有限公司,天津普天物业服务有限公司,100%
1,天津中天通信有限公司,天津普天企业孵化服务有限公司,100%
2,天津中天通信有限公司,天津普天创新创业科技有限公司,30.42319%
3,天津中天通信有限公司,天津普天创达企业孵化器有限公司,100%
4,天津中天通信有限公司,天津普信物业管理有限公司,49%
0,天津市中央药业有限公司,河北昆仑制药有限公司,100%
1,天津市中央药业有限公司,天士力控股集团有限公司,12.15318%
0,天津中安药业有限公司,天津鑫融成典当有限公司,60%
0,天津市中得保温材料有限公司,天津民得小额贷款有限公司,50%
0,天津市中捷彩涂板材有限公司,天津市中捷实业发展有限公司,0.2%
0,天津中新药业集团股份有限公司,浙江中新创睿投资有限公司,100%
1,天津中新药业集团股份有限公司,天津中新楚运贸易有限公司,100%
2,天津中新药业集团股份有限公司,达仁堂（北京）医药科技有限公司,100%
3,天津中新药业集团股份有限公司,天津中新药业集团环渤海药业有限公司,100%
4,天津中新药业集团股份有限公司,天津中新药业研究院有限公司,100%
5,天津中新药业集团股份有限公司,天津中新医药有限公司,100%
6,天津中新药业集团股份有限公司,天津达仁堂（亳州）中药饮片有限公司,100%
7,天津中新药业集团股份有限公司,天津达仁堂京万红药业有限公司,52.01745%
8,天津中新药业集团股份有限公司,天津中新药业集团新新（沧州）制药有限公司,100%
9,天津中新药业集团股份有限公司,天津中新药业滨海有限公司,53.59877%
10,天津中新药业集团股份有限公司,达仁堂（天津）中药饮片有限公司,100%
11,天津中新药业集团股份有限公司,天津新丰制药有限公司,55%
12,天津中新药业集团股份有限公司,天津中新医药有限公司,100%
13,天津中新药业集团股份有限公司,成都中新药业有限公司,51.0043%
14,天津中新药业集团股份有限公司,都江堰市达仁堂中药材种植有限公司,30%
15,天津中新药业集团股份有限公司,中美天津史克制药有限公司,25%
16,天津中新药业集团股份有限公司,天津宏仁堂药业有限公司,40%
17,天津中新药业集团股份有限公司,天津国展中心股份有限公司,19.60198%
18,天津中新药业集团股份有限公司,中新药业唐山新华有限公司,51%
19,天津中新药业集团股份有限公司,天津生物芯片技术有限责任公司,26.4%
20,天津中新药业集团股份有限公司,天津宜药印务有限公司,35.00634%
21,天津中新药业集团股份有限公司,天津医药集团营销管理有限公司,20%
22,天津中新药业集团股份有限公司,天津中新科炬生物制药股份有限公司,26.29%
23,天津中新药业集团股份有限公司,天津北方人才港股份有限公司,3.04878%
24,天津中新药业集团股份有限公司,成都中新药业自贡有限公司,10%
25,天津中新药业集团股份有限公司,华润丽水医药有限公司,15%
26,天津中新药业集团股份有限公司,天津医药集团财务有限公司,15%
27,天津中新药业集团股份有限公司,宁波药材股份有限公司,4%
0,天津中林天立实业有限公司,唐山中林林产品有限公司,30%
0,天津市中源装饰材料有限公司,天津国信小额贷款有限公司,30%
0,天津市中环三峰电子有限公司,天津东华医疗系统有限公司,24.99741%
1,天津市中环三峰电子有限公司,天津松华机电有限公司,15.3208%
0,天津中环半导体股份有限公司,中环能源（内蒙古）有限公司,100%
1,天津中环半导体股份有限公司,内蒙古中环资产管理有限公司,100%
2,天津中环半导体股份有限公司,天津中环新能源有限公司,100%
3,天津中环半导体股份有限公司,无锡中环资产管理有限公司,100%
4,天津中环半导体股份有限公司,天津市环欧半导体材料技术有限公司,100%
5,天津中环半导体股份有限公司,江苏中环企业管理有限公司,90%
6,天津中环半导体股份有限公司,宁夏中环光伏材料有限公司,100%
7,天津中环半导体股份有限公司,天津环睿电子科技有限公司,100%
8,天津中环半导体股份有限公司,内蒙古中环电子材料有限公司,100%
9,天津中环半导体股份有限公司,内蒙古中环光伏材料有限公司,79.07947%
10,天津中环半导体股份有限公司,ＴＣＬ环鑫半导体（天津）有限公司,45.00485%
11,天津中环半导体股份有限公司,天津环博科技有限责任公司,31.85%
12,天津中环半导体股份有限公司,华夏聚光（内蒙古）光伏电力有限公司,40%
13,天津中环半导体股份有限公司,中环艾能（北京）科技有限公司,40%
14,天津中环半导体股份有限公司,张家口棋鑫股权投资基金合伙企业（有限合伙）,50%
15,天津中环半导体股份有限公司,天津环海产业园有限公司,88.88889%
16,天津中环半导体股份有限公司,环晟光伏（江苏）有限公司,83.73375%
17,天津中环半导体股份有限公司,天津环研科技有限公司,50%
18,天津中环半导体股份有限公司,四川晟天新能源发展有限公司,26.8%
19,天津中环半导体股份有限公司,内蒙古中晶科技研究院有限公司,30.0592%
20,天津中环半导体股份有限公司,中环领先半导体材料有限公司,-
21,天津中环半导体股份有限公司,新疆协鑫新能源材料科技有限公司,27%
22,天津中环半导体股份有限公司,湖南国芯半导体科技有限公司,10%
23,天津中环半导体股份有限公司,青岛聚源芯星股权投资合伙企业（有限合伙）,8.67679%
24,天津中环半导体股份有限公司,内蒙古中环晶体材料有限公司,29.91914%
25,天津中环半导体股份有限公司,环晟新能源（江苏）有限公司,6.91489%
0,天津市中环华祥电子有限公司,天津阿尔卑斯电子有限公司,10%
1,天津市中环华祥电子有限公司,天津中环信能科技有限公司,100%
2,天津市中环华祥电子有限公司,天津市华欣微型开关有限公司,100%
0,天津市中环电子计算机公司,天津市中环电子仪器有限公司,100%
1,天津市中环电子计算机公司,天津英拓计算机控制技术有限公司,100%
2,天津市中环电子计算机公司,天津中环恒达科技有限公司,100%
3,天津市中环电子计算机公司,天津中电高新技术有限公司,100%
4,天津市中环电子计算机公司,天津市中环天虹微电机有限公司,100%
5,天津市中环电子计算机公司,广东通创联新技术有限公司,100%
6,天津市中环电子计算机公司,天津市中环中大科技有限公司,95%
7,天津市中环电子计算机公司,天津环博科技有限责任公司,35%
0,天津中环腾梁技术有限公司,天津华勤通信设备有限公司,5%
1,天津中环腾梁技术有限公司,天津威看通信科技有限公司,100%
0,天津中财型材有限公司,北京中财广角担保有限公司,50%
1,天津中财型材有限公司,天津中财典当有限责任公司,68.5%
2,天津中财型材有限公司,天津中财拍卖有限责任公司,29.7619%
3,天津中财型材有限公司,宁夏中财典当有限公司,30%
4,天津中财型材有限公司,广西中财典当有限公司,30%
5,天津中财型材有限公司,甘肃中财典当有限公司,50%
6,天津中财型材有限公司,海南中财典当有限公司,25%
7,天津中财型材有限公司,辽宁中财典当有限公司,75%
8,天津中财型材有限公司,太原中财典当有限公司,51%
